N,weighting,hub_edges,hub_cost,anchor,top10_composite_eigenvector,top1_overall_eigenvector,top1_overall_is_prime_eigenvector,comp_rank_30_eigenvector,overall_rank_30_eigenvector,comp_rank_210_eigenvector,overall_rank_210_eigenvector,comp_rank_330_eigenvector,overall_rank_330_eigenvector,top10_composite_eigenvector_costweight,top1_overall_eigenvector_costweight,top1_overall_is_prime_eigenvector_costweight,comp_rank_30_eigenvector_costweight,overall_rank_30_eigenvector_costweight,comp_rank_210_eigenvector_costweight,overall_rank_210_eigenvector_costweight,comp_rank_330_eigenvector_costweight,overall_rank_330_eigenvector_costweight,tau_eig_hub_on_vs_off
1000,padic,True,0.1,2,"512,768,256,384,640,896,128,960,576,192",2,True,299,467,264,432,265,433,"210,330,390,510,570,690,870,930,630,462",2,True,12,20,1,7,2,9,0.44951459024328777
1000,padic,False,0.1,2,"512,768,256,384,640,896,576,960,128,192",2,True,245,251,207,213,219,225,"210,330,390,510,570,690,870,930,630,462",2,True,12,19,1,7,2,8,0.44951459024328777
1000,uniform,True,0.1,2,"210,630,840,420,990,330,660,780,390,510",2,True,39,192,1,169,6,173,"420,840,210,630,330,660,990,780,390,510",2,True,24,24,3,7,5,12,0.44469027498521696
1000,uniform,False,0.1,2,"420,210,840,630,660,990,330,390,780,510",2,True,32,24,2,7,7,11,"840,630,210,420,330,660,990,780,390,510",2,True,30,24,3,7,5,11,0.44469027498521696
1000,log,True,0.1,2,"910,966,930,858,770,870,798,986,714,962",2,True,407,561,164,330,96,262,"840,630,210,420,330,660,990,390,780,510",2,True,20,19,3,5,5,9,-0.22159792184043492
1000,log,False,0.1,2,"770,910,385,924,462,455,420,840,630,210",5,True,187,194,10,22,15,28,"840,630,210,420,330,660,990,390,780,510",2,True,20,19,3,5,5,9,-0.22159792184043492
3162,padic,True,0.1,2,"2048,3072,1024,1536,2560,512,2304,768,1280,1792",2,True,959,1405,846,1292,850,1296,"2310,2730,210,1470,330,1050,390,510,570,690",2,True,34,45,3,13,5,15,0.5100270526882666
3162,padic,False,0.1,2,"2048,3072,1024,1536,2560,2304,512,768,1280,1792",2,True,786,795,650,659,683,692,"2310,2730,210,1470,330,1050,390,510,570,690",2,True,33,43,3,12,5,14,0.5100270526882666
3162,uniform,True,0.1,2,"2310,2730,3150,1680,1050,840,2100,1260,1470,1890",2,True,162,607,13,449,19,462,"2310,2730,1680,1890,420,1260,210,2100,1050,630",2,True,106,88,7,12,17,26,0.4998828190670784
3162,uniform,False,0.1,2,"2310,2730,1680,1890,420,1260,210,2100,1050,630",2,True,106,87,7,12,17,25,"2310,2730,1680,1890,420,1260,210,2100,1050,630",2,True,106,87,7,12,17,25,0.4998828190670784
3162,log,True,0.1,2,"2730,2310,3094,2926,2990,2618,3010,2870,3162,2530",2,True,1416,1858,852,1286,670,1113,"2310,2730,3150,2100,210,2520,630,1260,2940,1470",2,True,96,77,5,7,17,21,-0.18980390898953267
3162,log,False,0.1,2,"2310,2730,3003,1155,1365,2145,1785,2805,1995,3135",5,True,692,697,70,83,82,99,"2310,2730,3150,2100,210,2520,630,1260,2940,1470",2,True,96,76,5,7,17,20,-0.18980390898953267
10000,padic,True,0.1,2,"8192,4096,6144,2048,9216,3072,5120,7168,1024,7680",2,True,2984,4213,2717,3946,2737,3966,"2310,2730,3570,3990,4830,6090,6510,7770,8610,9030",2,True,108,124,13,28,26,42,0.5592265145816999
10000,padic,False,0.1,2,"8192,4096,6144,9216,2048,3072,5120,7168,4608,7680",2,True,2544,2559,2053,2068,2172,2187,"2310,2730,3570,3990,4830,6090,6510,7770,8610,9030",2,True,107,122,13,27,26,41,0.5592265145816999
10000,uniform,True,0.1,2,"6930,9240,2310,4620,8190,5460,2730,7140,3570,3990",2,True,837,2064,38,1263,71,1291,"9240,6930,4620,2310,8190,5460,2730,7140,3570,7980",2,True,299,311,40,37,64,73,0.5387877737165954
10000,uniform,False,0.1,2,"9240,4620,6930,2310,5460,2730,8190,3570,7140,7980",2,True,336,311,47,37,75,73,"2310,9240,6930,4620,2730,5460,8190,7140,3570,3990",2,True,303,311,46,37,63,73,0.5387877737165954
