node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
2,True,666.0,3162.0,0.6982439436623158,0.5208562145787811,0.2143214394729103,0.8885341587412398,0.5,1000,2,True,0.1,padic
3,True,333.0,839.0,0.09755291275005798,0.37187283672700167,0.06301311473294254,0.2476915793549041,0.3333333333333333,1000,2,True,0.1,padic
5,True,200.0,457.0,0.07284044560820047,0.21482983703397115,0.03471127303657962,0.1102715942395292,0.2,1000,2,True,0.1,padic
7,True,142.0,314.0,0.06389518734543756,0.14653386287733633,0.02399661714915585,0.06731815315649592,0.14285714285714285,1000,2,True,0.1,padic
11,True,90.0,196.0,0.05679252181082462,0.08889741975511974,0.01508376336776602,0.03784211733443527,0.09090909090909091,1000,2,True,0.1,padic
13,True,76.0,165.0,0.05493853753195023,0.07438276967920983,0.01274556724150003,0.030061123247496272,0.07692307692307693,1000,2,True,0.1,padic
17,True,58.0,127.0,0.052631282563522806,0.05628806234072969,0.0098453492598238,0.022465685458337367,0.058823529411764705,1000,2,True,0.1,padic
19,True,52.0,114.0,0.05196124820858226,0.05057931694299009,0.00885098178001361,0.019251047975162864,0.05263157894736842,1000,2,True,0.1,padic
23,True,43.0,95.0,0.050740044181949176,0.04200558104613778,0.007429311538582441,0.01572781866703037,0.043478260869565216,1000,2,True,0.1,padic
29,True,34.0,77.0,0.04983387391017943,0.03346143864310654,0.0060301810775604476,0.011683360046753483,0.034482758620689655,1000,2,True,0.1,padic
31,True,32.0,73.0,0.049657625460249925,0.03107697406707503,0.005729521596011591,0.01119121793804489,0.03225806451612903,1000,2,True,0.1,padic
37,True,27.0,62.0,0.04888051246902479,0.026906963612809167,0.0048310183699871055,0.008199916683550669,0.02702702702702703,1000,2,True,0.1,padic
41,True,24.0,56.0,0.0486696133764783,0.024767474716594757,0.004367729309422131,0.008175844515189917,0.024390243902439025,1000,2,True,0.1,padic
43,True,23.0,54.0,0.048399474016690515,0.023371810626007464,0.00423762844871709,0.008175844515189915,0.023255813953488372,1000,2,True,0.1,padic
47,True,21.0,50.0,0.0482414820860618,0.021894412836474853,0.003906654371959416,0.007185542255682571,0.02127659574468085,1000,2,True,0.1,padic
53,True,18.0,44.0,0.04798284085706606,0.019379164791644306,0.0034342999421095575,0.005770299357473673,0.018867924528301886,1000,2,True,0.1,padic
59,True,16.0,40.0,0.04780914272062607,0.017571230286593645,0.0031129117031772013,0.004801060245282016,0.01694915254237288,1000,2,True,0.1,padic
61,True,16.0,40.0,0.04780914272062604,0.017571230307021873,0.0031129117031772013,0.0048010602452820145,0.01639344262295082,1000,2,True,0.1,padic
67,True,14.0,36.0,0.047457448014368894,0.0158409253714972,0.0028271311785423945,0.004380131634640652,0.014925373134328358,1000,2,True,0.1,padic
71,True,14.0,36.0,0.04745744801436892,0.01584092535327986,0.0028271311785423945,0.004380131634640652,0.014084507042253521,1000,2,True,0.1,padic
73,True,13.0,34.0,0.047315929811553435,0.014419874126117838,0.0026793086553302623,0.004372107578520404,0.0136986301369863,1000,2,True,0.1,padic
79,True,12.0,32.0,0.04729805876349738,0.014235557004220746,0.0024978119155453405,0.0034232629423010183,0.012658227848101266,1000,2,True,0.1,padic
83,True,12.0,32.0,0.0472980587634974,0.014235557010177978,0.0024978119155453405,0.0034232629423010183,0.012048192771084338,1000,2,True,0.1,padic
89,True,11.0,30.0,0.04708973102193985,0.01271659052153755,0.0023599162387534754,0.0034232629423010183,0.011235955056179775,1000,2,True,0.1,padic
97,True,10.0,28.0,0.047071581829141125,0.012506554244018588,0.0021790613844196896,0.0024854513832469746,0.010309278350515464,1000,2,True,0.1,padic
101,True,9.0,26.0,0.046928667363273356,0.010963229316421592,0.0020313336594306457,0.002480436348171819,0.009900990099009901,1000,2,True,0.1,padic
103,True,9.0,26.0,0.04692866736327338,0.010963229310385738,0.0020313336594306457,0.002480436348171819,0.009708737864077669,1000,2,True,0.1,padic
107,True,9.0,26.0,0.04692866736327333,0.010963229310513911,0.0020313336594306457,0.002480436348171819,0.009345794392523364,1000,2,True,0.1,padic
109,True,9.0,26.0,0.04692866736327335,0.010963229311587197,0.0020313336594306457,0.002480436348171819,0.009174311926605505,1000,2,True,0.1,padic
113,True,8.0,24.0,0.046894915185986326,0.01043033024930342,0.001868870015146122,0.002478430334141757,0.008849557522123894,1000,2,True,0.1,padic
2,True,499.0,1492.0,0.6512841422532971,0.5120114176580277,0.13983760514729066,0.5910275211433076,0.5,1000,2,False,0.1,padic
3,True,332.0,829.0,0.23320281253581407,0.38143054916819485,0.07715951762150539,0.2750315947209735,0.3333333333333333,1000,2,False,0.1,padic
5,True,199.0,447.0,0.10752805255831684,0.2168805702871443,0.04155691363977402,0.1226259419138639,0.2,1000,2,False,0.1,padic
7,True,141.0,304.0,0.06893038848427469,0.14584841196468384,0.02830145653131733,0.07247598334772676,0.14285714285714285,1000,2,False,0.1,padic
11,True,89.0,186.0,0.04040194472880198,0.08629716485751145,0.017441054586156777,0.04053690872279024,0.09090909090909091,1000,2,False,0.1,padic
13,True,75.0,155.0,0.03306866135437865,0.07135400527226995,0.014612135453787048,0.030414211897276045,0.07692307692307693,1000,2,False,0.1,padic
17,True,57.0,117.0,0.02431284489002096,0.052770650026060746,0.011109791682014833,0.01638549620281059,0.058823529411764705,1000,2,False,0.1,padic
19,True,51.0,104.0,0.021684556843694157,0.04693333673493518,0.009922717867125825,0.013842177790662996,0.05263157894736842,1000,2,False,0.1,padic
23,True,42.0,85.0,0.017103697851018385,0.03813800546104375,0.008218208234138172,0.011132715775334352,0.043478260869565216,1000,2,False,0.1,padic
29,True,33.0,67.0,0.01372528454126661,0.02939575143872,0.006552839766815145,0.005868856433875361,0.034482758620689655,1000,2,False,0.1,padic
31,True,31.0,63.0,0.01306467955756897,0.026952785233317296,0.0061971154726008365,0.00575231678549425,0.03225806451612903,1000,2,False,0.1,padic
64,False,1.0,7.0,0.05866747336585029,0.006704045624749672,0.0007177316681229018,0.0,,1000,2,False,0.1,padic
96,False,2.0,8.0,0.056288359160325666,0.02530136260644693,0.0007962936748456854,0.0,,1000,2,False,0.1,padic
128,False,1.0,8.0,0.0670485409895432,0.005866039921655964,0.0007973978641681433,0.0,,1000,2,False,0.1,padic
160,False,2.0,8.0,0.05305386105533974,0.017760462447313826,0.0007961118999570745,0.0,,1000,2,False,0.1,padic
192,False,2.0,9.0,0.06466942678401856,0.02418402166898865,0.0008759598708909268,0.0,,1000,2,False,0.1,padic
224,False,2.0,8.0,0.052060470884340265,0.01450524225439828,0.0007963301962681014,0.0,,1000,2,False,0.1,padic
256,False,1.0,9.0,0.07542960861323611,0.005214257708138632,0.0008770640602133852,0.0,,1000,2,False,0.1,padic
288,False,2.0,9.0,0.059289335869409786,0.019474703925033938,0.0008754077762296978,0.0,,1000,2,False,0.1,padic
320,False,2.0,9.0,0.061434928679032635,0.016643121509855554,0.0008757780960023159,0.0,,1000,2,False,0.1,padic
351,False,2.0,6.0,0.01285499676485921,0.012009957628748569,0.0006367868322923589,0.002655628240130578,,1000,2,False,0.1,padic
352,False,2.0,8.0,0.05132623278210009,0.011776162543535047,0.0007974729603973331,0.0,,1000,2,False,0.1,padic
384,False,2.0,10.0,0.07305049440771146,0.02334601596589495,0.0009556260669361684,0.0,,1000,2,False,0.1,padic
432,False,2.0,9.0,0.05390924495480102,0.01812565189676903,0.0008748556815684689,0.0,,1000,2,False,0.1,padic
441,False,2.0,6.0,0.011664027840526694,0.01610922115761954,0.0006348076862439101,0.006149051523133012,,1000,2,False,0.1,padic
448,False,2.0,9.0,0.06044153850803316,0.013387901316940008,0.0008759963923133428,0.0,,1000,2,False,0.1,padic
480,False,3.0,10.0,0.059055814473508,0.03524043849155281,0.0009543401027250994,0.0,,1000,2,False,0.1,padic
512,False,1.0,10.0,0.08381067623692899,0.004692831937324771,0.0009567302562586266,0.0,,1000,2,False,0.1,padic
513,False,2.0,6.0,0.012562003450416347,0.010890821518785964,0.0006387229743369062,0.0027178481086296705,,1000,2,False,0.1,padic
544,False,2.0,8.0,0.050912146748050884,0.010239729037151164,0.0007994897958291181,0.009035070474616233,,1000,2,False,0.1,padic
576,False,2.0,10.0,0.06767040349310269,0.018357362987575666,0.0009550739722749395,0.0,,1000,2,False,0.1,padic
608,False,2.0,8.0,0.05084450235623723,0.009972220058874427,0.0008002637450723056,0.008079104488590127,,1000,2,False,0.1,padic
640,False,2.0,10.0,0.06981599630272553,0.01580511580676184,0.0009554442920475575,0.0,,1000,2,False,0.1,padic
672,False,3.0,10.0,0.058062424302508533,0.03198521829863727,0.0009545583990361265,0.0,,1000,2,False,0.1,padic
675,False,2.0,7.0,0.016155089806110037,0.015366038612190085,0.0007135943431613821,0.02060009241037964,,1000,2,False,0.1,padic
702,False,3.0,8.0,0.02961713201224502,0.03547411731537242,0.000796119224382842,0.002655628240130578,,1000,2,False,0.1,padic
704,False,2.0,9.0,0.059707300405792994,0.010658821606076759,0.0008771391564425747,0.0,,1000,2,False,0.1,padic
720,False,3.0,10.0,0.053675723558899234,0.03097805712258141,0.0009537880080638704,0.0,,1000,2,False,0.1,padic
736,False,2.0,8.0,0.05072660454020293,0.009569152763127697,0.0008024296369270507,0.007178955842950499,,1000,2,False,0.1,padic
768,False,2.0,11.0,0.08143156203140436,0.022694233752377616,0.0010352922629814102,0.0,,1000,2,False,0.1,padic
784,False,2.0,8.0,0.0445664358317388,0.013841567669443097,0.0007957963623180804,0.03541550902940347,,1000,2,False,0.1,padic
800,False,2.0,9.0,0.054437588711930926,0.014447437152278536,0.0008751351138967815,0.0383365162089277,,1000,2,False,0.1,padic
832,False,2.0,9.0,0.059518563294372974,0.00997401523137875,0.0008779937990729997,0.01765091745051665,,1000,2,False,0.1,padic
864,False,2.0,10.0,0.06229031257849392,0.01656137458432744,0.0009545218776137105,0.10648006055487663,,1000,2,False,0.1,padic
875,False,2.0,6.0,0.0073089757685475525,0.01165339363474327,0.0006344258757554802,0.0045904287721254995,,1000,2,False,0.1,padic
882,False,3.0,8.0,0.028426163087912498,0.039573380844243396,0.0007941400783343933,0.006149051523133012,,1000,2,False,0.1,padic
891,False,2.0,7.0,0.016044710585363355,0.010946766399022683,0.0007150462910459466,0.007685039749168006,,1000,2,False,0.1,padic
896,False,2.0,10.0,0.06882260613172607,0.012549895613846295,0.0009556625883585844,0.0,,1000,2,False,0.1,padic
928,False,2.0,8.0,0.05063965413385965,0.009168517860609285,0.0008043315558798954,0.004146531300839917,,1000,2,False,0.1,padic
960,False,3.0,11.0,0.0674368820972009,0.03412309755409453,0.001034006298770341,0.0,,1000,2,False,0.1,padic
968,False,2.0,7.0,0.03508401105468565,0.014368597164196658,0.0007178443124666866,0.022485030757130518,,1000,2,False,0.1,padic
992,False,2.0,8.0,0.05062265210761511,0.009056563034650534,0.0008052892230922463,0.004152549342930104,,1000,2,False,0.1,padic
1000,False,2.0,8.0,0.03905918112113629,0.016701617785864868,0.0007948259357460053,0.016804463113748357,,1000,2,False,0.1,padic
2,True,666.0,2169.0,0.7054671506253181,0.5609628076722327,0.24043889672190416,0.8327236722360305,0.5,1000,2,True,0.1,uniform
3,True,333.0,342.0,0.06272950685405722,0.3469901047686922,0.052140913876638426,0.18876642173235322,0.3333333333333333,1000,2,True,0.1,uniform
5,True,200.0,209.0,0.05908516560388706,0.18423794336733149,0.03170168068639813,0.09583230525114303,0.2,1000,2,True,0.1,uniform
7,True,142.0,151.0,0.05747706649730764,0.12238733799236515,0.02282553899076564,0.06309198309866274,0.14285714285714285,1000,2,True,0.1,uniform
11,True,90.0,99.0,0.05603160359649098,0.07317085819393773,0.014869362337292457,0.03743055012260085,0.09090909090909091,1000,2,True,0.1,uniform
13,True,76.0,85.0,0.05564310394274544,0.06066148601537769,0.012724442107865998,0.03103420721991217,0.07692307692307693,1000,2,True,0.1,uniform
17,True,58.0,67.0,0.05514419266112351,0.04553822363869497,0.009967715706636598,0.02313535980870657,0.058823529411764705,1000,2,True,0.1,uniform
