N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
31623,2,True,0.1,padic,degree,1,2,True,19210.0,19210.0,0.0,19210.0,19210.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,2,3,True,10541.0,10541.0,0.0,10541.0,10541.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,3,5,True,6324.0,6324.0,0.0,6324.0,6324.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,4,7,True,4517.0,4517.0,0.0,4517.0,4517.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,5,11,True,2874.0,2874.0,0.0,2874.0,2874.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,6,13,True,2432.0,2432.0,0.0,2432.0,2432.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,7,17,True,1860.0,1860.0,0.0,1860.0,1860.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,8,19,True,1664.0,1664.0,0.0,1664.0,1664.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,9,23,True,1374.0,1374.0,0.0,1374.0,1374.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,10,29,True,1090.0,1090.0,0.0,1090.0,1090.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,11,31,True,1020.0,1020.0,0.0,1020.0,1020.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,12,37,True,854.0,854.0,0.0,854.0,854.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,13,41,True,771.0,771.0,0.0,771.0,771.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,14,43,True,735.0,735.0,0.0,735.0,735.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,15,47,True,672.0,672.0,0.0,672.0,672.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,16,53,True,596.0,596.0,0.0,596.0,596.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,17,59,True,535.0,535.0,0.0,535.0,535.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,18,61,True,518.0,518.0,0.0,518.0,518.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,19,67,True,471.0,471.0,0.0,471.0,471.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree,20,71,True,445.0,445.0,0.0,445.0,445.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,1,2,True,81422.0,81422.0,0.0,81422.0,81422.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,2,3,True,26356.0,26356.0,0.0,26356.0,26356.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,3,5,True,14234.0,14234.0,0.0,14234.0,14234.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,4,7,True,9793.0,9793.0,0.0,9793.0,9793.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,5,11,True,6042.0,6042.0,0.0,6042.0,6042.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,6,13,True,5074.0,5074.0,0.0,5074.0,5074.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,7,17,True,3843.0,3843.0,0.0,3843.0,3843.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,8,19,True,3427.0,3427.0,0.0,3427.0,3427.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,9,23,True,2817.0,2817.0,0.0,2817.0,2817.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,10,29,True,2226.0,2226.0,0.0,2226.0,2226.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,11,31,True,2081.0,2081.0,0.0,2081.0,2081.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,12,37,True,1739.0,1739.0,0.0,1739.0,1739.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,13,41,True,1568.0,1568.0,0.0,1568.0,1568.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,14,43,True,1495.0,1495.0,0.0,1495.0,1495.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,15,47,True,1366.0,1366.0,0.0,1366.0,1366.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,16,53,True,1211.0,1211.0,0.0,1211.0,1211.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,17,59,True,1087.0,1087.0,0.0,1087.0,1087.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,18,61,True,1052.0,1052.0,0.0,1052.0,1052.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,19,67,True,957.0,957.0,0.0,957.0,957.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,degree_weighted,20,71,True,904.0,904.0,0.0,904.0,904.0,0.0,1.0,True,100,
31623,2,True,0.1,padic,eigenvector,1,2,True,0.7001952624458917,0.7005191871152273,5.820399930205455e-05,0.7003661335962597,0.7006554808320427,-5.565333537550411,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,2,3,True,0.0760949139420816,0.07539552553714028,0.000588869395945801,0.0737325019626403,0.07734945029620165,1.1876800012980857,0.22,False,100,
31623,2,True,0.1,padic,eigenvector,3,5,True,0.04374235738458106,0.04231238897976858,0.00035230723559680964,0.04157780183193974,0.04306732534711845,4.058867546078335,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,4,7,True,0.03268497863053343,0.03143269679572784,0.00036778918865287906,0.030662883583513316,0.03235281612112621,3.4048902834593897,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,5,11,True,0.023638199339706973,0.022813665061344447,0.00029280219820206136,0.022081462235419538,0.02347535869808834,2.816011230194119,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,6,13,True,0.021352562427990614,0.020562409224838686,0.00024856618167648444,0.01977930662622185,0.021172136600106136,3.178844353735671,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,7,17,True,0.018458470455834916,0.017861337198983293,0.00020228318967521213,0.01745706816087581,0.01847483634013487,2.951966783845901,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,8,19,True,0.017493157739724118,0.016907515778171893,0.0002325505169209413,0.016323390033121554,0.017583307309622348,2.518342979006656,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,9,23,True,0.016063826742150518,0.01563649014374121,0.00016286918216782615,0.01527214352229384,0.016106107435417308,2.6238026907322824,0.02,False,100,
31623,2,True,0.1,padic,eigenvector,10,29,True,0.014709780793480533,0.014357237767322596,0.0001678825739507575,0.014009679594117523,0.014872046113296991,2.0999381762001508,0.04,False,100,
31623,2,True,0.1,padic,eigenvector,11,16384,False,0.014489072246150836,0.0009173906436888576,0.0013792778469118303,2.6699138199948396e-05,0.005801726509835722,9.83970099487108,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,12,31,True,0.014364844566828816,0.014027041524988319,0.00012794718365319354,0.013763751780018043,0.014354268446187281,2.6401756740197517,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,13,24576,False,0.013733084047000773,0.0016686594224512188,0.0017508511952484744,5.344741871254035e-05,0.006801913102448532,6.89060535657767,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,14,37,True,0.013579645199953933,0.01331327852477838,0.0001271196772892297,0.01301005213324659,0.01371284063676279,2.09540081327852,0.08,False,100,
31623,2,True,0.1,padic,eigenvector,15,8192,False,0.013523134096407447,0.0009194295665732437,0.0012855643045281532,2.6698706771336437e-05,0.005801031185473797,9.804024960431834,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,16,41,True,0.013195058616974606,0.012970594279900853,0.0001351948379901671,0.012646491633353983,0.013430816456868465,1.6603025707984407,0.1,False,100,
31623,2,True,0.1,padic,eigenvector,17,43,True,0.013016224583656706,0.012779189420545829,0.00012776486929011823,0.012502618413243143,0.013101623180841442,1.8552452205984478,0.08,False,100,
31623,2,True,0.1,padic,eigenvector,18,12288,False,0.012767145897257385,0.0016567920677491646,0.0016641849126917028,5.510166699959291e-05,0.006795358903968032,6.676153439907107,0.0,False,100,
31623,2,True,0.1,padic,eigenvector,19,47,True,0.012733719237156408,0.012521405875229617,0.000136300102779494,0.012245993252957586,0.012845244586161837,1.5576904022609184,0.1,False,100,
31623,2,True,0.1,padic,eigenvector,20,20480,False,0.01267788345777306,0.001364063032053513,0.001619358983694299,5.477798870920819e-05,0.0068302078226173315,6.9866042919704805,0.0,False,100,
31623,2,True,0.1,padic,eigenvector_costweight,1,2,True,0.5148561244625837,0.524382562135202,0.0005199555541244241,0.5232636932958505,0.5256998216124505,-18.321638449771285,0.0,False,100,
