N,anchor,hub_edges,hub_cost,weighting,n_edges,n_null_samples,max_abs_z_degree,frac_top_abs_z_lt2_degree,top1_node_degree,top1_z_degree,max_abs_z_degree_weighted,frac_top_abs_z_lt2_degree_weighted,top1_node_degree_weighted,top1_z_degree_weighted,max_abs_z_eigenvector,frac_top_abs_z_lt2_eigenvector,top1_node_eigenvector,top1_z_eigenvector,max_abs_z_eigenvector_costweight,frac_top_abs_z_lt2_eigenvector_costweight,top1_node_eigenvector_costweight,top1_z_eigenvector_costweight,max_abs_z_pagerank,frac_top_abs_z_lt2_pagerank,top1_node_pagerank,top1_z_pagerank,max_abs_z_betweenness,frac_top_abs_z_lt2_betweenness,top1_node_betweenness,top1_z_betweenness
1000,2,True,0.1,padic,2125,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,1.0240762187948171,1.0,2,1.0240762187948171,3.783951129002824,0.65,2,-3.783951129002824,2.2951013384749586,0.9,2,0.46389151178321353,1.6157713435250565,1.0,2,-0.2969003005770019
1000,2,False,0.1,padic,1958,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,6.092208116086845,0.2,2,0.6751019479718389,3.951115313320615,0.65,2,-3.951115313320615,3.8152116175303425,0.75,2,3.8152116175303425,76.6083144551923,0.5,2,0.8409464801815254
1000,2,True,0.1,uniform,2125,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,4.907073937445972,0.95,2,-4.907073937445972,2.6402388128730565,0.95,2,-2.6402388128730565,2.937219781400408,0.95,2,-1.0165344800268827,2.019045930762145,0.95,2,0.3876640264750536
1000,2,False,0.1,uniform,1958,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,2.6803318755945704,0.95,2,-2.6803318755945704,2.680331875768882,0.95,2,-2.680331875768882,4.417817562961514,0.7,2,4.417817562961514,25.32624094339313,0.65,2,1.2979156746643954
1000,2,True,0.1,log,2125,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,2,-0.9949874371066201,8.778743150943301,0.95,2,8.778743150943301,1.0437438606489016,1.0,2,0.8856160815031592,9.00576665080486,0.45,2,-5.697465072289771,5.397830848021093,0.65,2,3.880919232062558
1000,2,False,0.1,log,1958,100,0.0,1.0,2,0.0,0.99498743710662,1.0,3,-0.9949874371066199,2.831885224253822,0.9,5,0.5462802610134915,1.0451813123517482,1.0,2,0.9009772883784843,10.086251235082514,0.8,3,-10.086251235082514,5.940495718737539,0.8,5,2.3574639272519113
10000,2,True,0.1,padic,24299,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,7.569523699536759,0.75,2,-2.487123133849031,11.249041760378107,0.05,2,-11.249041760378107,10.913212029069605,0.45,2,6.722422125776874,3.034633117017595,0.85,2,1.2431042753767503
10000,2,False,0.1,padic,23071,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,7.668409713690379,0.05,2,-2.080921622128902,11.206812930192626,0.05,2,-11.206812930192626,11.03127004595716,0.0,2,10.530277802418318,4893.467612187188,0.5,2,2.017592844501864
10000,2,True,0.1,uniform,24299,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,17.645368559469745,0.75,2,-17.645368559469745,9.915822261198509,0.3,2,-9.915822261198509,16.86256421806607,0.65,2,0.29714530210203804,2.881570907818255,0.9,2,0.7578281890385098
10000,2,False,0.1,uniform,23071,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,9.957218976563643,0.35,2,-9.957218976563643,9.957218977000439,0.35,2,-9.957218977000439,13.052391924909697,0.05,2,11.130443188722555,286.02452031226267,0.85,2,2.210299244714616
10000,2,True,0.1,log,24299,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,2,0.99498743710662,6.606050090098728,0.75,2,6.606050090098728,2.8217087919580357,0.8,2,-0.8685609947893675,33.4921290268919,0.3,2,-22.623119304791338,5.562235700602096,0.6,2,5.562235700602096
10000,2,False,0.1,log,23071,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,3,-0.99498743710662,8.568552470273168,0.95,5,-1.0801971229116596,2.81959859986422,0.8,2,-0.8495141968740365,39.15305339748766,0.45,3,-34.20382466332989,12.056627820235565,0.75,3,3.0940286330372935
