N,anchor,hub_edges,hub_cost,weighting,n_edges,n_null_samples,max_abs_z_degree,frac_top_abs_z_lt2_degree,top1_node_degree,top1_z_degree,max_abs_z_degree_weighted,frac_top_abs_z_lt2_degree_weighted,top1_node_degree_weighted,top1_z_degree_weighted,max_abs_z_eigenvector,frac_top_abs_z_lt2_eigenvector,top1_node_eigenvector,top1_z_eigenvector,max_abs_z_eigenvector_costweight,frac_top_abs_z_lt2_eigenvector_costweight,top1_node_eigenvector_costweight,top1_z_eigenvector_costweight,max_abs_z_pagerank,frac_top_abs_z_lt2_pagerank,top1_node_pagerank,top1_z_pagerank
31623,2,True,0.1,padic,80757,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,9.83970099487108,0.2,2,-5.565333537550411,18.321638449771285,0.05,2,-18.321638449771285,21.036272362632552,0.1,2,12.928865277207878
31623,2,False,0.1,padic,77357,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,9.965532851547259,0.05,2,-5.246374412947248,18.199443203121238,0.05,2,-18.199443203121238,25.986648940115497,0.0,2,17.674776855203966
31623,2,True,0.1,uniform,80757,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,26.30167552068842,0.35,2,-26.30167552068842,18.7322907313023,0.05,2,-18.7322907313023,33.31693465490242,0.4,2,3.396570821585556
31623,2,False,0.1,uniform,77357,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,18.763823910899447,0.05,2,-18.763823910899447,18.76382390651795,0.05,2,-18.76382390651795,32.98523506971067,0.0,2,16.920500136987734
31623,2,True,0.1,log,80757,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,2,0.99498743710662,9.453854701825058,0.55,2,-9.082441927598811,5.17269891384173,0.6,2,-3.361305344935267,67.61073965516445,0.35,2,-45.21065748943248
31623,2,False,0.1,log,77357,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,3,0.9949874371066199,13.696255673790395,0.15,5,-3.4571552002201105,5.172201561617251,0.6,2,-3.3400005019236563,71.63351762097204,0.15,3,-69.41831150115954
100000,2,True,0.1,padic,266399,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,12.15439484489596,0.0,2,-9.367413278950217,33.37413596154378,0.05,2,-33.37413596154378,37.57983628543373,0.0,2,24.278214863945323
100000,2,False,0.1,padic,256808,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,12.261547480763358,0.0,2,-9.70631814406748,33.13760780413746,0.05,2,-33.13760780413746,38.37098846159318,0.0,2,30.188049271500446
100000,2,True,0.1,uniform,266399,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,32.640199111248016,0.0,2,-32.640199111248016,29.11533945426597,0.05,2,-29.11533945426597,58.13865200464712,0.0,2,10.70232677527859
100000,2,False,0.1,uniform,256808,100,0.0,1.0,2,0.0,0.0,1.0,2,0.0,29.163781704668434,0.05,2,-29.163781704668434,29.163781711626775,0.05,2,-29.163781711626775,49.06233271430396,0.0,2,27.89012416104065
100000,2,True,0.1,log,266399,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,2,-0.99498743710662,42.14787828286659,0.05,2,-42.14787828286659,9.051020988266197,0.4,2,-6.189132298642456,115.28014402567689,0.0,2,-75.70874488559224
100000,2,False,0.1,log,256808,100,0.0,1.0,2,0.0,0.9949874371066201,1.0,3,0.0,20.7951228104178,0.1,5,-5.778002412879685,9.052462999163684,0.4,2,-6.17183447912072,124.95436038282115,0.0,3,-115.41917061258117
